x,y
221,228
468,318
451,318
435,318
413,318
392,319
377,319
367,319
354,319
341,319
312,318
298,318
288,318
265,318
254,318
242,318
227,318
212,318
195,318
173,320
146,322
133,322
110,321
98,321
85,321
69,321
54,321
44,321
33,319
17,318
17,286
42,284
68,284
81,283
100,283
121,282
137,281
154,279
169,279
185,279
218,275
234,275
261,275
293,275
317,272
331,272
352,272
370,272
389,272
413,272
422,272
444,272
468,247
442,247
423,247
406,247
391,247
383,247
372,247
355,246
345,246
333,245
321,244
301,244
286,244
263,243
241,243
223,243
209,242
195,242
181,241
155,240
133,240
114,240
93,239
69,238
54,237
39,236
25,236
29,205
52,205
76,204
96,204
116,200
145,199
168,199
185,200
211,200
240,200
270,198
294,197
316,196
334,196
351,196
366,196
385,196
396,196
417,195
435,195
457,195
454,167
436,167
404,166
372,166
354,165
329,165
304,165
281,163
261,163
242,163
215,163
204,163
167,163
144,161
123,161
98,159
83,159
61,159
37,159
23,158
27,133
56,133
82,133
118,133
147,130
182,130
218,128
243,128
295,124
324,126
361,126
390,126
411,126
442,126
466,126
456,97
425,97
396,97
362,97
323,97
291,96
259,96
220,96
174,90
146,95
100,95
63,93
211,61
255,54
222,40
